Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossN	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
41	-8.4432955	9.268168	-1.0	-43.751842	256.0	0.0	256.0	256.0	-7.908507	3.5980666	-4.685251	-41.304886	1075200	2.3841857e-09	1.1920929e-09	74.01086	-0.0008617711	-0.82992554	0.13904934	1.5664221	0.0005096393	0.004211601	0.0069140624	0.028007813	79.0	10.4636545	18.90695	18.90695	5413.309150457382
42	-7.8377123	10.28201	-1.0	-63.264763	256.0	0.0	256.0	256.0	-8.458044	4.4588914	-4.565151	-71.245476	1100800	-9.536743e-09	-9.536743e-09	85.37332	-0.0011494803	-0.9561081	0.118939154	1.586926	-7.86729e-05	0.0046199462	0.0012890626	0.026992187	79.0	14.084613	21.922327	21.922327	5535.037034749985
43	-9.903237	10.572522	-1.0	-48.54857	256.0	0.0	256.0	256.0	-8.436588	5.2067604	-4.108111	-90.44852	1126400	-1.07288365e-08	-1.1920929e-08	93.81802	-0.0009880018	-3.3209915	0.18016516	1.5896605	0.00012246588	0.0062922114	0.0055078124	0.04488281	79.0	14.155247	24.058483	24.058483	5659.05738735199
44	-7.7702355	8.860346	-1.0	-39.47379	256.0	0.0	256.0	256.0	-9.451812	3.8030906	-5.995516	-48.73767	1152000	0.0	0.0	63.461372	-0.0022469712	-3.4486008	0.12187895	1.605003	-5.016813e-05	0.006243428	0.009960937	0.038359374	79.0	13.156883	20.927116	20.927116	5786.549063444138
45	-7.1268	9.039223	-1.0	-50.222565	256.0	0.0	256.0	256.0	-7.5881324	3.8509812	-3.7983432	-40.108616	1177600	-1.1920929e-09	-5.9604643e-10	66.2623	-0.0008455956	-0.8625488	0.11138101	1.573078	-2.9673474e-05	0.0032761765	0.0046875	0.026953125	79.0	10.148015	17.274815	17.274815	5916.662478923798
46	-7.4670243	9.646903	-1.0	-56.392445	256.0	0.0	256.0	256.0	-7.1286535	4.461174	-3.6504512	-55.324112	1203200	0.0	0.0	75.55642	-0.00086758554	-0.61099243	0.105568305	1.5788974	3.0750092e-05	0.0049323626	0.00390625	0.033554688	79.0	10.563956	18.030981	18.030981	6048.272039651871
47	-8.752839	9.799151	-1.0	-49.61442	256.0	0.0	256.0	256.0	-7.4857326	3.9225492	-3.9248748	-45.0023	1228800	0.0	0.0	82.45183	-0.0009340453	-2.394165	0.1194274	1.5740402	-5.4090506e-05	0.005025047	0.0038671875	0.036640625	79.0	13.564958	22.317799	22.317799	6182.465596199036
48	-5.7475195	5.98553	-1.0	-30.445023	256.0	0.0	256.0	256.0	-8.447749	3.2996826	-4.551816	-49.994522	1254400	-1.1920929e-09	0.0	38.827553	-0.0011132032	-8.404762	0.084510356	1.5910801	-0.00010542015	0.0053476365	0.0013671875	0.037617188	79.0	11.328711	17.076231	17.076231	6310.905545473099
49	-6.1559687	8.367959	-1.0	-57.87627	256.0	0.0	256.0	256.0	-5.806046	2.5638287	-3.6445627	-49.72771	1280000	6.556511e-09	7.152557e-09	57.68993	-0.00089086924	-2.0037575	0.08900755	1.6018475	-6.227219e-05	0.0052948743	0.001796875	0.053710938	79.0	11.019848	17.175817	17.175817	6443.3392329216
50	-6.1308966	6.947677	-1.0	-34.012665	256.0	0.0	256.0	256.0	-6.192069	3.7370362	-3.4831226	-46.00857	1305600	4.7683715e-09	4.7683715e-09	41.49883	-0.0006691337	-1.1662483	0.09074132	1.5828286	-0.00011254796	0.0047421604	0.0008203125	0.027695313	79.0	10.12958	16.260475	16.260475	6569.056833267212
51	-7.6230006	8.229554	-1.0	-42.629555	256.0	0.0	256.0	256.0	-6.245272	3.0456424	-3.7830653	-44.548023	1331200	2.3841857e-09	2.3841857e-09	58.72332	-0.0009186411	-2.2384796	0.106190026	1.5062011	-6.601719e-05	0.002598684	0.0034375	0.013828125	79.0	12.72965	20.35265	20.35265	6697.4234709739685
52	-9.342913	9.954393	-1.0	-50.47582	256.0	0.0	256.0	256.0	-8.117046	4.3415666	-4.910122	-45.216305	1356800	1.1920929e-09	1.1920929e-09	81.21797	-0.001092143	-2.3320236	0.13756998	1.4985303	-7.065002e-05	0.0059241424	0.002109375	0.0403125	79.0	17.31995	26.662865	26.662865	6821.711632013321
53	-11.172985	11.2765465	-1.0	-53.985638	256.0	0.0	256.0	256.0	-9.5563	4.7265797	-5.5330954	-47.816555	1382400	-1.07288365e-08	-1.1920929e-08	102.34186	-0.0013817847	-3.7163315	0.15693976	1.4280562	-0.00022876024	0.0056460705	0.0054296874	0.04503906	79.0	16.754976	27.92796	27.92796	6950.854440689087
54	-7.5104046	8.453849	-1.0	-44.692978	256.0	0.0	256.0	256.0	-10.434473	3.8763769	-5.593616	-49.333443	1408000	1.7881394e-08	1.1920929e-08	65.48029	-0.00075300096	-8.875256	0.11054451	1.442306	-8.412077e-05	0.003984859	0.001640625	0.02609375	79.0	13.741363	21.251764	21.251764	7081.141144514084
55	-9.062321	9.926642	-1.0	-51.11475	256.0	0.0	256.0	256.0	-7.591189	3.9238486	-3.8979182	-35.469254	1433600	8.940697e-09	1.1324882e-08	77.81854	-0.0011542424	-3.4836197	0.13301425	1.3879285	-0.00020933988	0.0034643442	0.0039453125	0.02828125	79.0	12.968817	22.031145	22.031145	7208.492572307587
56	-8.114808	10.217142	-1.0	-50.30857	256.0	0.0	256.0	256.0	-9.066331	5.29021	-3.9445071	-55.15684	1459200	-7.152557e-09	-7.152557e-09	81.28023	-0.0015697748	-1.7655487	0.10757998	1.3799411	-0.00011849353	0.0033093996	0.003828125	0.025039062	79.0	14.200543	22.315351	22.315351	7335.597385644913
57	-6.5073066	7.105273	-1.0	-31.678741	256.0	0.0	256.0	256.0	-7.7218437	3.7360663	-3.6515691	-45.3866	1484800	1.4901161e-10	0.0	46.10716	-0.000867147	-2.8913612	0.08691685	1.3553174	-2.2873897e-05	0.00289654	0.0029296875	0.013945312	79.0	8.950011	15.457317	15.457317	7466.604528903961
58	-8.761676	10.405155	-1.0	-56.46334	256.0	0.0	256.0	256.0	-6.8332825	3.892284	-3.5494015	-50.89154	1510400	1.7881393e-09	2.0861626e-09	91.555725	-0.0014726036	-5.0389786	0.10499141	1.3348475	0.00013865507	0.0033172541	0.0036328125	0.03292969	79.0	12.954458	21.716133	21.716133	7584.048659801483
59	-7.5278606	8.602089	-1.0	-54.564793	256.0	0.0	256.0	256.0	-8.676151	4.449876	-4.1844788	-62.718033	1536000	1.1920929e-09	1.1920929e-09	62.28559	-0.0007517588	-2.3744125	0.09499099	1.3558297	-0.00013263439	0.005146532	0.00171875	0.04128906	79.0	14.6158085	22.143671	22.143671	7712.26059627533
60	-6.313861	6.150814	-1.0	-30.802471	256.0	0.0	256.0	256.0	-7.2522607	2.4628062	-3.8810916	-27.661728	1561600	-7.7486035e-09	-6.556511e-09	34.475918	-0.00059107423	-1.390255	0.083799265	1.3287174	-7.631643e-05	0.004298253	0.00078125	0.033867188	79.0	9.7948475	16.10871	16.10871	7842.637582063675
61	-8.292142	9.30576	-1.0	-51.07396	256.0	0.0	256.0	256.0	-6.692775	3.4838831	-3.1911585	-40.988808	1587200	8.642673e-09	7.7486035e-09	72.56026	-0.0011265733	-4.4022675	0.10260145	1.3442819	-2.6140278e-05	0.0040194686	0.0037890626	0.02515625	79.0	14.978032	23.27017	23.27017	7974.791216373444
62	-7.6193852	10.110598	-1.0	-44.34006	256.0	0.0	256.0	256.0	-8.307254	4.3498464	-3.8944657	-44.753925	1612800	-4.7683715e-09	-4.7683715e-09	79.08786	-0.0012421537	-1.6348648	0.10094452	1.3018879	-0.0001817492	0.0043517803	0.0027734374	0.0415625	79.0	15.901758	23.521145	23.521145	8096.302782297134
63	-7.2784486	8.804388	-1.0	-44.035915	256.0	0.0	256.0	256.0	-7.6624904	5.08441	-3.2092736	-50.56095	1638400	5.9604646e-09	5.3644182e-09	59.036205	-0.0012505876	-1.217308	0.09775745	1.2915093	-0.00021081067	0.0034147114	0.0025390624	0.031171875	79.0	18.380133	25.65858	25.65858	8227.461261749268
64	-6.7391963	8.480591	-1.0	-43.96082	256.0	0.0	256.0	256.0	-6.8646846	3.4639423	-3.8445385	-48.860622	1664000	1.1920929e-09	0.0	57.054398	-0.0012862855	-0.5382805	0.08973673	1.3236002	0.00020064175	0.003815189	0.0042578126	0.02984375	79.0	11.463148	18.202347	18.202347	8358.742426633835
65	-7.1694393	8.825453	-1.0	-50.922623	256.0	0.0	256.0	256.0	-6.9962907	4.0300574	-3.4920154	-36.297836	1689600	8.34465e-09	5.9604646e-09	55.486576	-0.0008872056	-1.7076645	0.095976524	1.3149649	-5.394721e-05	0.0041445233	0.00171875	0.02875	79.0	10.446151	17.615591	17.615591	8488.827988386154
66	-7.032845	7.1265593	-1.0	-37.17536	256.0	0.0	256.0	256.0	-6.872269	4.141109	-3.6058009	-57.339897	1715200	-2.3841857e-09	-1.1920929e-09	46.289494	-0.0007375151	-2.5927505	0.08384565	1.3258994	-2.9818527e-06	0.003470077	0.00140625	0.020820312	79.0	11.108923	18.141766	18.141766	8617.935254335403
67	-7.4547744	9.430488	-1.0	-51.80911	256.0	0.0	256.0	256.0	-7.220151	3.3254817	-4.1083307	-38.388706	1740800	-2.3841857e-09	-2.3841857e-09	70.6896	-0.0006573892	-2.3066864	0.095038146	1.3346194	-6.651844e-05	0.0038442344	0.0009765625	0.03261719	79.0	12.902087	20.356865	20.356865	8741.13343667984
68	-7.470261	8.75277	-1.0	-40.118332	256.0	0.0	256.0	256.0	-7.4935436	4.3415155	-4.0397115	-37.48159	1766400	1.7881393e-09	1.7881393e-09	61.22573	-0.0011191781	-0.97201157	0.10288706	1.3128843	0.00016617157	0.0049125794	0.0046484377	0.04550781	79.0	12.593269	20.063528	20.063528	8861.228368520737
69	-6.4307423	6.890674	-1.0	-39.66817	256.0	0.0	256.0	256.0	-7.1593733	3.362837	-4.303971	-34.52516	1792000	1.1920929e-09	3.5762786e-09	40.46083	-0.0007278323	-1.071537	0.08070663	1.3121768	-5.9213013e-05	0.0026541606	0.00109375	0.018710937	79.0	9.716606	16.147348	16.147348	8994.129739284515
70	-7.249657	7.797277	-1.0	-38.95148	256.0	0.0	256.0	256.0	-6.365557	2.7887459	-3.2563968	-35.819557	1817600	1.1920929e-09	1.1920929e-09	52.441547	-0.000813263	-1.2158546	0.084489234	1.2944574	-0.00020758454	0.0042573404	0.0015234374	0.02515625	79.0	10.657226	17.906883	17.906883	9125.632492542267
71	-8.816574	11.141325	-1.0	-58.018414	256.0	0.0	256.0	256.0	-7.8264537	4.791712	-4.1342974	-58.674107	1843200	-5.3644182e-09	-4.7683715e-09	96.93228	-0.0014352715	-2.2022552	0.100107886	1.2654452	-0.00042326748	0.0030690038	0.0026953125	0.035	79.0	20.616522	29.433096	29.433096	9257.640602111816
72	-7.9617963	9.236352	-1.0	-46.715122	256.0	0.0	256.0	256.0	-8.485137	3.8804135	-4.7218513	-43.903297	1868800	3.5762786e-09	1.1920929e-09	66.83605	-0.0011858678	-1.1718674	0.097650975	1.2491373	0.00017415684	0.0027465292	0.0055078124	0.03265625	79.0	11.581062	19.542856	19.542856	9388.984037160873
73	-6.782423	6.991142	-1.0	-29.570932	256.0	0.0	256.0	256.0	-7.5935073	3.5898833	-3.6500351	-50.387714	1894400	3.5762786e-09	2.3841857e-09	46.210323	-0.00083171006	-2.7459564	0.07724817	1.2840146	9.28178e-05	0.0027215367	0.00375	0.033203125	79.0	8.419107	15.201532	15.201532	9513.757641553879
74	-7.5714245	9.620495	-1.0	-43.50917	256.0	0.0	256.0	256.0	-6.9471803	3.0799263	-4.162744	-45.033855	1920000	0.0	0.0	77.255295	-0.0007877731	-2.9617233	0.07975681	1.2478814	0.00011735755	0.0032037287	0.0027734374	0.049296875	79.0	13.1384325	20.709858	20.709858	9646.321704387665
75	-7.013706	7.804656	-1.0	-44.792217	256.0	0.0	256.0	256.0	-7.452242	4.020707	-3.7657437	-51.132607	1945600	0.0	-1.1920929e-09	52.940556	-0.0015857947	-2.1933975	0.07284152	1.195723	0.00018854837	0.0044369567	0.009726563	0.035117187	79.0	12.397721	19.411428	19.411428	9778.62654876709
76	-6.682171	8.195767	-1.0	-49.076027	256.0	0.0	256.0	256.0	-6.8222866	2.465465	-4.281986	-31.204575	1971200	-1.4305114e-08	-1.4305114e-08	56.804806	-0.0004779005	-1.6430511	0.06093897	1.1913009	2.5425696e-05	0.0036732622	0.000625	0.03621094	79.0	5.523315	12.205487	12.205487	9910.000497579575
