Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossN	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
39	-18.360626	15.632599	-1.0012612	-84.17935	256.0	0.0	256.0	256.0	-17.926783	8.980367	-13.008429	-105.50701	1024000	-6.2584875e-09	-5.9604646e-09	192.34438	-0.0012521876	-3.9813843	0.36472407	2.2747648	0.0004832228	0.0	0.004921875	0.0	79.0	5.7777696	24.138395	24.138395	6715.702998161316
40	-17.27418	14.089822	-1.0078424	-62.806385	256.0	0.0	256.0	256.0	-17.989616	6.535813	-14.054334	-85.97597	1049600	7.7486035e-09	7.7486035e-09	170.09488	-0.0014304698	-3.0337982	0.3249999	2.2803528	1.3168203e-06	0.0	0.0042578126	0.0	79.0	-1.5533355	15.720844	15.720844	6884.4423315525055
41	-18.478743	17.115057	-1.136206	-83.16029	256.0	0.0	256.0	256.0	-17.787169	6.898466	-13.184804	-93.404045	1075200	-4.7683715e-09	-4.7683715e-09	222.21764	-0.0014677942	-5.7061005	0.37123454	2.2614365	-0.00028392556	0.0	0.003125	0.0	79.0	0.4282075	18.90695	18.90695	7048.960072755814
42	-18.593536	18.416733	-1.8472596	-107.38526	256.0	0.0	256.0	256.0	-18.591242	9.796378	-13.458227	-132.07423	1100800	-7.152557e-09	-7.152557e-09	253.61244	-0.0020027112	-3.9997253	0.34877747	2.2665067	0.0006732137	0.0	0.010234375	0.0	79.0	3.3287895	21.922327	21.922327	7210.239517688751
43	-19.685999	16.04339	-2.096631	-73.64669	256.0	0.0	256.0	256.0	-18.822535	8.367269	-12.754318	-84.51488	1126400	4.7683715e-09	4.7683715e-09	210.13559	-0.0019318616	-4.2959595	0.39847052	2.2643442	0.0013088015	0.0	0.014023437	0.0	79.0	4.372483	24.058483	24.058483	7376.699766397476
44	-17.04069	14.591779	-1.000091	-58.821438	256.0	0.0	256.0	256.0	-19.063742	6.3832555	-14.465934	-65.44782	1152000	9.536743e-09	9.536743e-09	174.4695	-0.0014384532	-5.1117706	0.3204428	2.267805	0.00031065097	0.0	0.0078125	0.0	79.0	3.8864267	20.927116	20.927116	7541.28092622757
45	-17.163893	13.953573	-1.0	-63.432396	256.0	0.0	256.0	256.0	-17.20616	6.965063	-12.943929	-67.65272	1177600	4.7683715e-09	4.7683715e-09	143.31583	-0.0012631607	-1.1325684	0.33665967	2.2818253	0.00016473328	0.0	0.0027734374	0.0	79.0	0.11092274	17.274815	17.274815	7704.9619727134705
46	-15.57003	13.769225	-1.5490141	-83.37073	256.0	0.0	256.0	256.0	-16.643816	6.391131	-12.2895355	-61.199448	1203200	-4.7683715e-09	-4.7683715e-09	154.46353	-0.0015282774	-2.7293396	0.28942955	2.2799695	0.0001477851	0.0	0.009453125	0.0	79.0	2.460951	18.030981	18.030981	7871.702481746674
47	-17.756111	16.979542	-1.3959299	-113.84633	256.0	0.0	256.0	256.0	-15.823324	6.6617727	-11.192114	-91.36941	1228800	-5.9604646e-09	-4.7683715e-09	233.2034	-0.0010227693	-6.5219574	0.3103151	2.2720208	0.00053930166	0.0	0.00359375	0.0	79.0	4.5616856	22.317799	22.317799	8034.851665973663
48	-15.46721	13.187393	-1.6410662	-80.050644	256.0	0.0	256.0	256.0	-17.296295	6.49015	-13.279	-91.69834	1254400	2.3841857e-09	2.3841857e-09	139.33391	-0.0013202571	-4.9514313	0.28215146	2.2698443	-5.2449675e-05	0.0	0.0028125	0.0	79.0	1.6090214	17.076231	17.076231	8204.503337621689
49	-15.845007	13.287061	-1.1769357	-65.522194	256.0	0.0	256.0	256.0	-15.565438	6.1343355	-11.1617775	-70.124054	1280000	0.0	0.0	139.37968	-0.0006816286	-1.6303711	0.28683177	2.2738788	5.453823e-05	0.0	0.0014453125	0.0	79.0	1.3308104	17.175817	17.175817	8372.055932044983
50	-15.5546055	11.739317	-1.0	-63.289104	256.0	0.0	256.0	256.0	-16.042196	6.807492	-11.605978	-83.86293	1305600	1.9073486e-08	1.66893e-08	109.52403	-0.0019093776	-2.7041168	0.3067566	2.2879195	0.00022311993	0.0	0.010390625	0.0	79.0	0.7058712	16.260475	16.260475	8543.344665050507
51	-15.936779	12.089031	-1.0	-56.28136	256.0	0.0	256.0	256.0	-15.519966	5.19452	-11.418543	-63.03901	1331200	-5.3644182e-09	-5.9604646e-09	126.88867	-0.00091444794	-2.2527084	0.29532206	2.2680347	0.00019610219	0.0	0.002109375	0.0	79.0	4.415871	20.35265	20.35265	8709.450112581253
52	-18.518417	15.50607	-1.1769385	-73.71679	256.0	0.0	256.0	256.0	-16.493004	5.8446136	-12.731363	-60.835136	1356800	1.1920929e-09	1.1920929e-09	196.90138	-0.0014357913	-6.6180267	0.3340078	2.2652054	0.00018225137	0.0	0.00828125	0.0	79.0	8.144447	26.662865	26.662865	8875.434069633484
53	-18.957788	15.757638	-1.1813008	-83.97428	256.0	0.0	256.0	256.0	-18.691423	7.4870577	-14.386457	-70.897255	1382400	-8.34465e-09	-9.536743e-09	174.71136	-0.001119281	-3.0036163	0.33877972	2.2443414	0.0004941601	0.0	0.0055078124	0.0	79.0	8.97017	27.92796	27.92796	9041.823057174683
54	-15.800508	12.016456	-1.4136866	-57.122158	256.0	0.0	256.0	256.0	-18.314873	7.0965896	-14.216976	-68.47707	1408000	2.3841857e-09	2.3841857e-09	125.86223	-0.0016019379	-10.552162	0.30305347	2.2777987	0.0002147701	0.0	0.0048828125	0.0	79.0	5.451259	21.251764	21.251764	9214.972165107727
55	-19.0278	13.725621	-2.0206923	-61.215637	256.0	0.0	256.0	256.0	-16.022114	5.2292986	-12.881842	-48.886894	1433600	-3.5762786e-09	-4.7683715e-09	157.38342	-0.0009385693	-11.525772	0.34584618	2.2604406	0.00025019757	0.0	0.0036328125	0.0	79.0	3.0033426	22.031145	22.031145	9382.090832948685
56	-16.607672	13.277152	-1.0	-78.77134	256.0	0.0	256.0	256.0	-18.838923	7.1362267	-14.189398	-61.900307	1459200	-6.4074994e-09	-6.7055224e-09	132.69847	-0.0014277264	-6.09568	0.3080963	2.2803936	3.1508855e-05	0.0	0.003828125	0.0	79.0	5.7076764	22.315351	22.315351	9553.378422021866
57	-13.922813	11.220866	-1.0981027	-66.62234	256.0	0.0	256.0	256.0	-15.651056	4.994	-12.194238	-68.71717	1484800	5.9604646e-09	5.9604646e-09	116.21879	-0.001046313	-6.515236	0.24907455	2.2861958	0.00016381593	0.0	0.0039453125	0.0	79.0	1.5345023	15.457317	15.457317	9720.707464456558
58	-17.522223	14.362208	-1.0112083	-71.557365	256.0	0.0	256.0	256.0	-14.645481	5.6689663	-11.244169	-68.09846	1510400	-4.172325e-09	-4.4703485e-09	175.53432	-0.0011345601	-10.607681	0.30050388	2.267118	0.00035701192	0.0	0.01015625	0.0	79.0	4.1939125	21.716133	21.716133	9887.528594255447
59	-15.500353	11.510777	-1.2036704	-52.349762	256.0	0.0	256.0	256.0	-17.129187	5.264457	-13.725871	-62.540752	1536000	-1.1920929e-09	-1.1920929e-09	117.08398	-0.0018115271	-3.9696808	0.2723891	2.255921	-0.000117956864	0.0	0.0050390624	0.0	79.0	6.6433153	22.143671	22.143671	10054.053444385529
60	-14.58714	13.537356	-1.0	-86.76081	256.0	0.0	256.0	256.0	-15.486158	4.663555	-12.992086	-70.086044	1561600	-1.1920929e-08	-1.1920929e-08	145.85925	-0.00086049794	-6.124542	0.25744462	2.2675047	0.00018239219	0.0	0.002734375	0.0	79.0	1.5215698	16.10871	16.10871	10224.201887369156
61	-16.600487	13.64709	-1.1039438	-56.109894	256.0	0.0	256.0	256.0	-14.928262	7.031825	-11.52377	-111.99089	1587200	-1.2814999e-08	-1.1920929e-08	150.6397	-0.0018327138	-7.963135	0.28790498	2.2647495	-2.6900163e-05	0.0	0.0051953127	0.0	79.0	6.669687	23.27017	23.27017	10389.531361341476
62	-15.708846	12.787505	-1.0325941	-59.279312	256.0	0.0	256.0	256.0	-16.526915	6.240356	-13.047446	-60.616653	1612800	1.1920929e-09	1.1920929e-09	129.67535	-0.0014474797	-1.689415	0.28780004	2.2712517	-0.00013926096	0.0	0.0034765624	0.0	79.0	7.812301	23.521145	23.521145	10556.782453536987
63	-14.705306	13.078187	-1.0161995	-61.79162	256.0	0.0	256.0	256.0	-15.665846	6.5102243	-11.788882	-109.94495	1638400	2.3841857e-09	1.7881393e-09	136.54767	-0.001505539	-2.7760468	0.26422244	2.2661903	0.00016386904	0.0	0.00453125	0.0	79.0	10.953278	25.65858	25.65858	10721.52333021164
64	-14.327618	11.370943	-1.0	-52.590492	256.0	0.0	256.0	256.0	-14.28864	4.7018576	-10.762154	-51.73054	1664000	3.5762786e-09	2.9802323e-09	111.511955	-0.0009309599	-1.1205902	0.25548393	2.2750726	0.00032877296	0.0	0.0043359376	0.0	79.0	3.8747294	18.202347	18.202347	10889.326644659042
